"","date","btc","bch","dash","btg","dcr","dgb","doge","etc","eth","ltc","xem","xmr","zec","xvg"
"1",2013-01-27,1,0,0,0,0,0,0,0,0,0,0,5,0,0
"2",2013-02-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2013-02-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2013-02-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2013-02-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2013-03-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2013-03-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2013-03-17,4,0,0,3,0,0,0,0,0,0,0,5,0,0
"9",2013-03-24,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2013-03-31,8,0,0,0,0,0,0,0,0,2,0,0,0,0
"11",2013-04-07,20,0,0,6,0,0,0,0,0,1,0,0,0,0
"12",2013-04-14,8,0,0,6,0,0,0,0,0,2,0,0,0,0
"13",2013-04-21,5,0,0,0,0,0,0,0,0,1,0,0,0,0
"14",2013-04-28,5,0,0,3,0,0,0,0,0,2,0,0,0,0
"15",2013-05-05,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2013-05-12,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"17",2013-05-19,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2013-05-26,3,0,0,0,0,0,0,0,0,1,0,5,0,0
"19",2013-06-02,3,0,0,3,0,0,0,0,0,0,0,0,0,0
"20",2013-06-09,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"21",2013-06-16,2,0,0,3,0,0,0,0,0,1,0,0,0,0
"22",2013-06-23,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"23",2013-06-30,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"24",2013-07-07,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",2013-07-14,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"26",2013-07-21,2,0,0,3,0,0,0,0,0,0,0,4,0,0
"27",2013-07-28,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2013-08-04,3,0,0,0,0,0,0,0,0,1,0,0,0,0
"29",2013-08-11,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"30",2013-08-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2013-08-25,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"32",2013-09-01,1,0,0,0,0,0,0,0,0,0,0,4,0,0
"33",2013-09-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2013-09-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2013-09-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2013-09-29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2013-10-06,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"38",2013-10-13,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"39",2013-10-20,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"40",2013-10-27,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2013-11-03,9,0,0,0,0,0,0,0,0,2,0,0,0,0
"42",2013-11-10,9,0,0,0,0,0,0,0,0,1,0,0,0,0
"43",2013-11-17,20,0,0,0,0,0,0,0,0,3,0,0,0,0
"44",2013-11-24,23,0,0,0,0,0,0,0,0,8,0,0,0,0
"45",2013-12-01,33,1,0,6,0,0,0,0,0,8,0,0,0,0
"46",2013-12-08,19,0,0,3,0,0,0,0,0,3,0,0,0,0
"47",2013-12-15,23,0,0,10,0,0,64,0,0,5,0,0,0,0
"48",2013-12-22,11,0,0,0,0,0,55,0,0,3,0,0,0,0
"49",2013-12-29,9,0,0,0,0,0,23,0,0,2,0,0,0,0
"50",2014-01-05,14,0,0,0,0,0,11,0,0,4,0,5,0,0
"51",2014-01-12,12,0,0,3,0,0,21,0,0,2,0,5,0,0
"52",2014-01-19,11,1,0,3,0,5,97,0,0,2,0,0,0,0
"53",2014-01-26,22,0,0,0,0,0,38,0,1,2,0,0,0,0
"54",2014-02-02,11,0,0,3,0,0,86,0,0,2,0,0,0,0
"55",2014-02-09,18,0,0,3,0,0,100,0,0,2,0,0,0,0
"56",2014-02-16,14,0,0,6,0,0,77,0,0,2,0,0,0,0
"57",2014-02-23,55,0,0,3,0,0,56,0,0,1,0,4,0,0
